제작사,차명,생산시작,생산종료,리콜사유,대수,제조사,리콜일
현대자동차㈜,아반떼하이브리드,`09.12.01,`10.03.31,후부반사기의 반사성능이 안전기준에 부적합한 결함이 발견됨,NA,현대차,2011-03-23
현대자동차㈜,투싼YF쏘나타,`10.2.27,`10.5.17,후부반사기의 반사성능이 안전기준에 부적합한 결함이 발견됨,NA,현대차,2011-04-27
기아자동차㈜,모닝,`11.4.19,`11.7.29,휘발유 연료탱크 내 유량계가 연료탱크에 접촉되어 정상적으로 작동되지 않을 수 있고 이 경우 연료가 부족함에도 있는 것처럼 표시되어 운전자가 연료가 있는 것으로 알고 운전할 경우 시동꺼짐 현상이 발생할 수 있어 안전운행에 지장,NA,기아차,2011-08-16
르노삼성자동차㈜,SM3,`10.4.16,`10.4.19,실내좌석 내장재의 난연성이 안전기준에 부적합한 결함 발견됨,NA,르노삼성,2011-03-08
르노삼성자동차㈜,SM3,`10.4.1,`11.1.16,후부반사기의 반사성능이 안전기준에 부적합한 결함이 발견됨,NA,르노삼성,2011-04-29
르노삼성자동차㈜,SM3SM5,`09.4.23,`10.10.29,에어백 제어장치 불량으로 운전석 에어백이 작동되지 않을 가능성이 발견됨,NA,르노삼성,2011-04-29
르노삼성자동차㈜,QM5,`10.9.13,`11.1.19,주행 중 파워스티어링 제어장치 결함으로 핸들이 무거워져 안전운행에 지장,NA,르노삼성,2011-12-26
한국지엠㈜,윈스톰2.0디젤윈스톰맥스2.0디젤토스카2.0디젤라세티2.0디젤라세티프리미어2.0디젤,`08.2.1,`11.6.20,"경유를 사용하는 자동차의 연료공급호스 불량으로 연료가 누유 될 수 있고, 이 경우 주행 중 시동이 꺼져 안전운행에 지장",NA,지엠대우,2011-10-21
한국지엠㈜,쉐보레캡티바,`11.8.26,`11.9.15,연료탱크와 연료주입구 연결부위가 분리될 수 있고 이 경우 연료가 누유되어 안전운행에 지장,NA,지엠대우,2011-12-02
한국토요타자동차㈜,렉서스 IS250,`07.9.3,`08.12.3,연료파이프에 연결된 연료압력센서가 기준보다 낮은 힘으로 체결되어 연료가 누유 될 가능성이 있어 안전운행에 지장,NA,토요타,2011-02-09
한국토요타자동차㈜,렉서스 RX330렉서스 RX350렉서스 RX400H,`03.2.12,`06.7.26,운전석 바닥카펫을 고정해주는  커버가 고정되지 않아 가속페달과 간섭이 되는 경우 가속페달이 눌린 상태에서 고착되어 복귀되지 않아 안전운전운행에 지장 ,NA,토요타,2011-03-21
