2012년 제작결함 현황,,,,
제작사,차명,생산기간,리콜개시일,리콜사유
현대자동차㈜,엑센트,`10.11.16~`11.5.14,12.3.7,정면충돌 시 배터리 전기배선 손상으로 전기합선에 의한 화재가 발생할 가능성으로 안전운행에 지장
현대자동차㈜,벨로스터,`11.5.15~`11.7.3,12.3.7,좌석 시트커버의 난연성(難燃性)이 안전기준에 부적합
현대자동차㈜,트라고메가트럭와이드캡뉴파워트럭,`11.3.7~`11.6.25,12.3.7,슬리핑 베드 내부 패드의 난연성(難燃性)이 안전기준에 부적합
현대자동차㈜,벨로스터,`11.4.13~`12.2.25,12.12.17,후륜 주차브레이크의 작동케이블과 브레이크 캘리퍼 연결부위 부식으로 인해 경사로 주차 시 차량이 뒤로 밀릴 수 있어 안전운행에 지장
현대자동차㈜,벨로스터,`11.11.1~`12.4.17,12.12.17,파노라마 선루프를 장착하는 과정에서 발생한 미세한 선루프 균열로? 주행 중 선루프 유리가 깨질 수 있어 안전운행에 지장 
기아자동차㈜,모하비,`08.5.2~`09.7.13,12.6.4,설정속도(약64km/h) 이상에서 충돌 사고 시 운전자의 발목 부상을 줄이기 위해 브레이크 페달이 파손되게 제작되었으나 설정속도 이하 충돌 사고 시에도 파손되어 제동불량으로 2차 사고의 가능성으로 안전운행에 지장
기아자동차㈜,모닝,`11.1.17~`12.3.29,12.12.17,후륜 주차브레이크의 작동케이블과 브레이크 캘리퍼 연결부위 부식으로 인해 경사로 주차 시 차량이 뒤로 밀릴 수 있어 안전운행에 지장
한국지엠㈜,쉐보레아베오1.6,`10.11.24~`11.9.27,12.2.24,ABS 장치를 조립 할 때 수분이 함유된 조립용 윤활제를 사용하여 유압펌프 피스톤이 부식 및 ABS를 작동 오일에 공기가 혼입되어 제동성능이 떨어질 가능성
한국지엠㈜,윈스톰2.0디젤윈스톰 맥스2.0디젤,`06.4.11~`09.11.6,12.2.29,ABS제어장치(모듈레이터)내 일부 부품에서 부식이 발생하여 브레이크 밀림현상이 발생하여 안전운행에 지장
한국지엠㈜,알페온 2.4알페온 2.4 하이브리드알페온 3.0,`10.4.30~`12.3.5,12.3.30,전조등이 자동차안전기준상의 허용기준 보다 높게 비춰져 야간 운행 시 상대방 운전자의 시야확보를 어렵게 하는 등 안전운행에 지장을 줄 가능성이 발견
한국지엠㈜,올란도2.0디젤올란도2.0LPG,`11.11.7~`12.1.16,12.4.27,좌석이 정확히 고정되지 않아 주행 중 고정 장치가 빠질 경우 안전운행에 지장을 줄 가능성이 발견됨
한국지엠㈜,마티즈젠트라라세티토스카,`06.5.30~`10.4.26,12.8.17,ABS(Anti-Lock Brake System) 제어장치(모듈레이터)내 일부 부품에서 부식이 발생하여 정상적으로 브레이크를 밟더라도 제동이 늦어지거나 차량의 정지거리가 증가하는 브레이크 밀림현상이 발생하여 안전운행에 지장
한국지엠㈜,라세티 1.5 가솔린 해치백라세티 1.6 가솔린 해치백라세티 2.0 디젤 해치백,`02.11.4~`06.3.27,12.8.17,전조등 전기배선 연결부위(스플라이스 팩) 결함으로 전기저항이 증가하여 연결부위가 녹아 주행 중 전조등이 작동되지 않아 안전운행에 지장
한국지엠㈜,캡티바2.2디젤라세티 프리미어 2.0디젤,`10.10.6~`12.5.29,12.12.21,엔진의 출력을 바퀴로 전달하는 자동변속기 내부 터빈 샤프트가 부러져 주행 중 가속이 되지 않아 안전운행에 지장
르노삼성자동차㈜,QM5,`11.1.27~`11.11.21,12.12.21,앞바퀴를 고정해 주는 로워암(트랜스버스 링크)의 용접불량으로 용접부위가 파손될 가능성이 있고 이 경우 조향이 되지 않아 안전운행에 지장
㈜에이엠티코리아,에이엠티줄렉커에이엠티언더리프트,`10.6.3~`11.4.27,12.3.16,임의로 구조물 등을 장착하여 차량 총중량을 자기인증 한 내용과 다르게 제작?판매
지엠코리아㈜,캐딜락SRX,`10.2.25~`11.6.17,12.1.16,"자동변속기의 변속위치(P,R,N,D,L)를 조절해 주는 케이블이 고정되지 않아 운전자는 변속위치를 P(주차)로 작동 하였으나 실제 자동차의 변속기는 R(후진) 또는 D(주행) 등의 위치에 놓여 운전자가 의도하지 않은 상태로 주행하여 안전운행에 지장"
메르세데스벤츠코리아㈜,c220 CDIE220 CDIML280CDIML300CDIS350BLUETEC,`06.4.18~`11.4.6,12.1.9,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장"
