제작사,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
현대자동차(주),"아반떼,싼타페,베라크루즈",2008-09-01,2011-06-30,2013-04-11,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론  정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
현대자동차(주),"쏘나타,투싼,제네시스,아반떼구형,그랜저,베리크루즈,i30,제네시스쿠페",2007-07-01,2011-08-15,2013-10-01,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론  정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
현대자동차(주),제네시스,2007-12-24,2012-03-16,2013-10-31,ABS제어장치(모듈레이터)에 부식이 발생하여 브레이크 성능이 저하될 수 있어 안전운행에 지장 
기아자동차(주),"카렌스,쏘렌토,쏘울",2010-06-01,2011-06-14,2013-04-11,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론  정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
기아자동차(주),"K5,포르테,스포티지,로체,모하비,오피러스,그랜드카니발",2007-06-21,2011-04-24,2013-10-01,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론  정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장
한국지엠(주),올란도2.0LPG,2012-11-12,2012-12-16,2013-08-16,연료 부족 경고등이 점등되지 않아 연료가 없음을 알지 못하고 운행하여 주행 중 시동이 꺼질수 있어 안전운행에 지장
한국지엠(주),알페온2.4이어시스트,2011-08-21,2013-02-13,2013-07-19,"발전기 제어장치 결함으로 엔진룸에 있는 배터리에 충전이 되지 않을 수 있고 이로 인해 엔진에 전기가 공급되지 않아 시동이 걸리지 않거나, 주행 중 시동이 꺼질 수 있어 안전운행에 지장"
한국지엠(주),토스카2.0LPG,2007-05-29,2007-12-14,2013-12-06,베이퍼라이저 압력센서의 전기배선 단선으로 주행 중 시동이 꺼져 안전운행에 지장
한국지엠(주),토스카2.0LPG,2007-05-29,2009-03-30,2013-12-06,아이들 에어 콘트롤 밸브 작동 불량으로 주행 중 시동이 꺼져 안전운행에 지장
한국지엠(주),"다마스,라보",2013-05-01,2013-06-06,2013-12-16,조향장치의 기어마모로 인해 운전자의 의도와 다르게 조향이 되어 안전운행에 지장
한국지엠(주),라보,2013-05-01,2013-06-07,2013-12-16,조향장치의 기어마모로 인해 운전자의 의도와 다르게 조향이 되어 안전운행에 지장
쌍용자동차(주),"코란도투리스모,코란도스포츠",2012-01-03,2013-05-14,2013-12-27,변속레버 조립불량으로 P단(주차)에서 작은 힘으로도 변속레버가 움직여 주차기능을 유지하지 못하고 차량이 움직여 안전운행에 지장
쌍용자동차(주),코란도스포츠,2012-01-03,2013-05-15,2013-12-27,변속레버 조립불량으로 P단(주차)에서 작은 힘으로도 변속레버가 움직여 주차기능을 유지하지 못하고 차량이 움직여 안전운행에 지장
타타대우상용차(주),"대우4.5톤카고,대우5톤카고",2012-04-26,2012-05-14,2013-03-14,브레이크 제동거리 및 평균최대감속도가 자동차안전기준에 부적합
제이에스이엔지,로드스터,2012-07-12,2013-01-04,2013-07-22,자기인증한 내용과 다르게 리프트를 변경하여 판매
명성정공,명성정공 저상 트레일러,2012-02-18,2012-04-27,2013-08-05,제동장치 관련 바퀴잠김방지식 제동장치 및 자동간극조정기 미장차(안전기준 위반) 및 자기인증한 내용과 다르게 판매
비엠더블유그룹코리아(주),X5,2007-03-20,2009-12-14,2013-03-08,"엔진오일이 브레이크 부스터 내로 유입되어 부스터의 기능이 저하되어 브레이크 페달이 딱딱해 지고, 제동거리가 길어질 수 있어 안전운행에 지장"
비엠더블유그룹코리아(주),ActiveE,2012-02-23,2012-02-23,2013-03-08,전기모터 구동축 가스켓 실링 결함으로 윤활용 그리스가 누유되는 경우 구동축 기어가 손상되어 전기모터가 구동되지 않아 주행 중 차량이 정지될 수 있어 안전운행에 지장
비엠더블유그룹코리아(주),"120d,520d,x3 20d,x5 30d,x6 30d",2009-05-13,2009-11-05,2013-09-13,"겨울철 연료를 예열해 주는 히터(연료필터 내부에 장착)를 작동시키는 전기접점이 습기에 의한 고장으로 꺼지지 않아 배터리가 방전되어 시동이 걸리지 않거나, 과열로 화재가 발생될 가능성이 있어 안전운행에 지장"
비엠더블유그룹코리아(주),"318i,320i,325i,330i,325ci,330ci,325xi,M3",2002-01-10,2002-11-22,2013-09-13,에어백 작동 시 에어백을 부풀게 하는 팽창장치결함으로 에어백이 정상적으로 부풀지 않아 안전운행에 지장
비엠더블유그룹코리아(주),"116I,335I,320I,328I,320d,320xd,320d ED,335ih,118d,120d",2011-10-18,2012-08-30,2013-11-01,전면부 전자모듈(FEM) 프로그램 결함으로 와이퍼 초기위치 복귀불량 및 비상경고등?문 잠금장치?트렁크 잠금장치?실내등이 비정상적으로 작동되어 안전운행에 지장
비엠더블유그룹코리아(주),"735Li,745Li,750i,750Li,760Li",2003-07-17,2007-03-27,2013-12-27,자동 문 잠금장치 소프트웨어 결함으로 문이 완전히 닫히지 않아 주행 중 열릴 수 있어 안전운행에 지장
비엠더블유그룹코리아(주),"730i,745i,750i,750i,730Li,735Li,745Li,750Li,760Li,735Li,745Li,750i,750Li,760Li",2004-02-16,2008-07-16,2013-12-27,스마트키를 제어하는 소프트웨어 결함으로 운전자의 의도와 다르게 변속위치가 P(주차)에서 N(중립)상태로 변경되어 운전자의 의도와는 다르게 차량이 이동 될수 있어 안전운행에 지장
메르세데스 벤츠코리아(주),"C220 CDI,E220 CDI",2011-08-10,2011-12-12,2013-01-14,엔진의 흡기호스에 균열이 발생하여 엔진의 출력 또는 회전수가 제한되거나 주행 중 시동이 꺼질 수 있어 안전운행에 지장
메르세데스 벤츠코리아(주),"S350,S500,S500 4MATIC",2011-04-18,2011-07-12,2013-03-25,연료의 이물질을 걸러주는 연료필터에서 연료가 누유 되어 운행 중 누유 된 연료에 화재가 발생할 수 있어 안전운행에 지장
(주)에프엠케이,"마제라티 그란투리스모 MC Stradale,마제라티 그란카브리오 Sport",2012-03-30,2012-04-24,2013-01-21,타이어 공기압 감시장치가 오작동 될 가능성이 있어 안전운헹에 지장
(주)에프엠케이,"마세라티 콰트로포르테,마세라티 콰트로포르테,마세라티 그란투리스모",2006-04-19,2008-06-25,2013-07-17,뒷 바퀴 타이로드 결함으로 인해 조향에 영향을 주어 안전운행에 지장
(주)재규어랜드로버코리아,XF,2009-03-30,2009-12-19,2013-01-28,연료공급파이프 연결부위에 균열이 발생하여 연료가 누유되어 화재가 발생할 수 있어 안전운행에 지장
(주)재규어랜드로버코리아,"XF,XJ",2012-07-25,2013-04-30,2013-12-23,인터쿨러와 터보차저 사이의 연결호스가 주행 중 빠져 시동이 꺼저 안전운행에 지장
(주)재규어랜드로버코리아,XF,2011-08-24,2013-07-03,2013-12-23,연료라인 누유로 주행 중 화재의 위험이 있어 안전운행에 지장
한국토요타자동차(주),"렉서스 IS250,렉서스 IS-C,렉서스 IS-F",2005-05-31,2011-10-06,2013-02-25,유리창 닦이를 고정하는 너트를 약하게 체결하여 작동이 되지 않아 안전운행에 지장
한국토요타자동차(주),FJ크루저,2012-11-01,2012-11-01,2013-05-16,앞 좌석 시트 벨트의 리트렉터 부위가 털어져 시트벨트가 정상적으로 작동하지 않을 수 있어 사고 시 승객의부상이 증가할 가능성이 있어 안전운행에 지장
한국토요타자동차(주),토요타 프리우스,2008-10-31,2009-10-09,2013-06-27,브레이크 부스터의 결함으로 제동력이 감소되어 제동거리가 길어져 안전운행에 지장
한국토요타자동차(주),렉서스 SC430,2000-12-27,2003-05-14,2013-08-22,조수석 에어백 인플레이터 내의 추진체 불량으로 에어백이 정상적으로 작동되지 않을 가능성이 발견되어 안전운행에 지장
한국토요타자동차(주),렉서스 RX400h,2006-03-01,2008-11-28,2013-09-26,하이브리드 시스템 인버터의 igbt(절연게이트 양극성 트랜지스터) 회로 과열로 계기판에 경고등이 점등되고 안전주행모드나 주행이 되지 않아 안전운행에 지장
한국토요타자동차(주),렉서스 GS 350,2006-05-11,2010-12-09,2013-09-26,엔진에 공기를 공급해주는 ‘가변식 밸브 제어장치(VVT)가 정상적으로 작동되지 않아 주행 중 시동이 꺼질 가능성이 있어 안전운행에 지장
한국토요타자동차(주),"토요타 캠리 V6,토요타 캠리,토요타 캠리 하이브리드,토요타 벤자 V6,토요타 벤자",2011-10-20,2013-05-16,2013-12-26,에어컨 방열기에서 발생한 물이 외부로 배출되지 않고 에어백제어장치로 유입되어 에어백과 전동식 파워핸들이 정상적으로 작동되지 않아 안전운행에 지장
지엠코리아(주),캐딜락 SRX,2012-07-12,2012-07-12,2013-04-15,자동변속기제어프로그램오류로 DSC(수동변속모드) 모드에서 운전자 의도와 관계없이 자동변속 모드 또는 스포츠모드로 변환되어 안전운행에 지장
포드세일즈서비스코리아(유),토러스링컨 MKS,2011-06-19,2012-01-17,2013-04-29,연료탱크 용접불량으로 누유가 되어 화재의 가능성이 있어 안전운행에 지장
포드세일즈서비스코리아(유),"익스플로러,토러스MKS,퓨전MKZ",2012-01-09,2013-03-22,2013-08-23,연료펌프 연결호스 균열로 연료가 누유되어 주행중 화재의 위헙성이 있어 안전운행 지장
포드세일즈서비스코리아(유),토러스MKS,2012-11-29,2012-12-12,2013-08-23,어린이 보호 도어 잠금장치 결함으로 의도하지 않게 잠금장치가 해제되어 어린이가 차량에서 떨어질 가능성이 있어 안전운행 지장
포드세일즈서비스코리아(유),퓨전,2012-07-07,2012-10-03,2013-09-16,사고 시 견인을 위한 견인고리가 설치되어야 하나 견인고리가 설치되지 않아 안전기준에 부적합
포드세일즈서비스코리아(유),MKZ,2012-07-20,2013-07-13,2013-12-30,LED 헤드램프자동 상하 조사각도 조절장치 결함으로 헤드램프? 상하조사각이 부적절하여 안전운행에 지장 
포드세일즈서비스코리아(유),타운카,2004-10-01,2010-03-03,2013-12-30,스티어링 샤프트(조인트) 부식으로 운전자가 의도하는 방향으로 조향이 되지 않아 안전운행에 지장 
한불모터스(주),푸조 207cc,2012-03-13,2012-05-25,2013-05-20,브레이크 스위치 배선 고정불량으로 주위의 구성품과 접촉하는 경우 ABS 기능이 작동되지 않을 가능성이 있어 안전운행에 지장
한불모터스(주),시트로엥 DS5,2012-09-12,2013-03-08,2013-06-10,브레이크 부스터 내 다이어프램 결함으로 제동이 완전히 해제 되지않아  안전운행에 지장
한불모터스(주),푸조 3008,2012-09-20,2013-02-12,2013-09-16,브레이크 배력장치(하이드로백) 결함으로 ESP경고등이 점등되고 브레이크가 완전히 해제되지 않아 안전운행에 지장
한불모터스(주),푸조 508 2.2 HDI,2012-01-12,2012-09-27,2013-10-21,연료리턴 파이프와 인젝터사이의 조립불량으로 연료가 누유되어 안전운행에 지장
한국닛산(주),jx35,2012-12-03,2013-01-29,2013-05-20,앞브레이크 토크멤버 제작불량으로 주행 중 파손될 경우 제동이 되지않아 안전운행에 지장
한국닛산(주),"M35,M45",2004-11-08,2010-04-19,2013-11-11,악셀레이터의 위치를 파악하는 센서 이상으로 엔진제어장치가 작동될 수 있고 이경우 엔진출력이 제한되어 최소속도로만 운행이 가능하게 되어 안전운행에 지장
한국닛산(주),"jx35,path finder",2012-04-03,2013-06-13,2013-11-29,ABS컨트롤유닛 제동압력이 낮아 제동거리가 길어져 안전운행에 지장
스투트가르트스포츠카(주),"911 카레라,911 카레라 카브리올레,911 카레라 4",2011-11-03,2012-11-14,2013-06-01,제작사가 정한 기간보다 빨리 소음기와 배기관 연결부위에 부식이 발생하여 이상소음 및 진동이 발생할 가능성
