제작사,차명,대수,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
기아자동차,봉고3 1.2톤,47347,2007-12-03,2013-12-01,2015-02-17,제동시 제동력려과 차량하중에 의해 판스프링 변형 및 드래그 링크와 너클암 연결부의 궤적 편차로 앞바퀴 방향 변화 발생
기아자동차,쏘울,6374,2013-10-16,2015-01-08,2015-03-13,과도한 힘으로 가속페달 밟을 시 손상 가능성이 있는 결함 발견
기아자동차,쏘울,6565,2014-01-18,2015-09-30,2015-11-23,조향핸들 축 끝에 장착된 작은 톱니바퀴(피니언)를 고정하는 볼트(플러그)가 풀려 조향 시 소음이 발생하거나 조향성능을 저하시킬 수 있는 가능성
르노삼성자동차,SM5,2625,2013-10-21,2014-06-03,2015-01-30,내리막 저속 주행 중 kph 근방에서 브레이크 제동시에 엔진시동꺼짐이 발생할 수 있는 가능성 발견
르노삼성자동차,SM5,4499,2013-04-30,2014-03-03,2015-01-30,연료압력 센서의 불충분한 조임력으로 주행 시 엔진 진동등으로 추가적인 출력저하가 발생하고 심한경우 연료 누유가능성 발견
르노삼성자동차,SM3,4418,2002-02-07,2003-02-07,2015-12-28,앞열 우측좌석 에어백(다카타社)이 전개 될 때 에어백 부품(인플레이터)의 일부가 파손되면서 운전자에게 상해를 입힐 가능성
르노삼성자동차,SM3,185182,2009-04-23,2015-06-15,2015-08-14,좌측 엔진마운트 볼트의 조임 부족으로 인한 볼트 밀림이 발견되어 이를 계속 방치할 경우 엔진 처짐 가능성
르노삼성자동차,SM5,206871,2009-08-12,2015-06-15,2015-08-14,좌측 엔진마운트 볼트의 조임 부족으로 인한 볼트 밀림이 발견되어 이를 계속 방치할 경우 엔진 처짐 가능성
르노삼성자동차,QM5 디젤,10237,2013-08-09,2015-07-06,2015-12-30,연료 파이프 굴곡부와 엔진 상부 커버의 간섭으로 마모가 발생하여 연료가 누유되고 화재가 발생할 가능성
한국지엠,크루즈,48,2014-12-09,2014-12-17,2015-01-23,조수석 내부 중공형 드라이브 샤프트의 열처리 과정에서 냉각수 누수로 인해 의도하지 않은 부분에 분사되어 해당 부분이 재질 경도가 규정된 값보다 낮게 가공되어 충분한 내구성이 확보되지 않아 파손될 가능성이 발견
한국지엠,라세티프리미어,84516,2008-10-13,2011-02-07,2015-02-26,전륜 브레이크 호스 중 한쪽에서 누유가 될 경우 잠재적으로 제동 성능 저하로 인해 제동거리가 길어 질수 있음
